Sample	quality_trimmed	bp_processed	r_with_adapters	r_written	r_processed	cutadapt_version	bp_written	percent_trimmed
analysis | trim_galore | SRR24016000_1	4512027	3006075750	7364342	20040505	20040505	3.5	2977364551	0.9551056389713399
analysis | trim_galore | SRR24016000_2	27322945	3006075750	7153187	20040505	20040505	3.5	2954006434	1.7321358585192008
analysis | trim_galore | SRR24016001_1	6226735	3411607950	8284851	22744053	22744053	3.5	3379420882	0.9434574098703222
analysis | trim_galore | SRR24016001_2	9855187	3411607950	8309120	22744053	22744053	3.5	3376283859	1.0354088605052054
analysis | trim_galore | SRR24016002_1	5552309	3426504750	8395576	22843365	22843365	3.5	3393153928	0.9733190067808895
analysis | trim_galore | SRR24016002_2	6384726	3426504750	8399476	22843365	22843365	3.5	3393935649	0.9505050591276722
analysis | trim_galore | SRR24016003_1	6043874	3087769050	7593856	20585127	20585127	3.5	3054657214	1.0723546827441646
analysis | trim_galore | SRR24016003_2	7329983	3087769050	7599487	20585127	20585127	3.5	3057257924	0.9881285000897331
analysis | trim_galore | SRR24016004_1	5642971	3365506350	8403100	22436709	22436709	3.5	3322072319	1.2905645238197216
analysis | trim_galore | SRR24016004_2	26679859	3365506350	8345515	22436709	22436709	3.5	3300185105	1.9409039296568256
analysis | trim_galore | SRR24016005_1	11685832	3209901000	8270967	21399340	21399340	3.5	3147762300	1.9358447503521135
analysis | trim_galore | SRR24016005_2	30736172	3209901000	8214839	21399340	21399340	3.5	3129346451	2.509564905584315
