Module	Section	Sample Name	Source
featureCounts	all_sections	analysis | featurecounts | mir163_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/featurecounts/featurecounts.txt.summary
featureCounts	all_sections	analysis | featurecounts | mir163_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/featurecounts/featurecounts.txt.summary
featureCounts	all_sections	analysis | featurecounts | mir163_3	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/featurecounts/featurecounts.txt.summary
featureCounts	all_sections	analysis | featurecounts | wt_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/featurecounts/featurecounts.txt.summary
featureCounts	all_sections	analysis | featurecounts | wt_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/featurecounts/featurecounts.txt.summary
featureCounts	all_sections	analysis | featurecounts | wt_3	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/featurecounts/featurecounts.txt.summary
STAR	SummaryLog	analysis | star | wt_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/wt_1_Log.final.out
STAR	SummaryLog	analysis | star | mir163_1	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/mir163_1_Log.final.out
STAR	SummaryLog	analysis | star | wt_3	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/wt_3_Log.final.out
STAR	SummaryLog	analysis | star | mir163_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/mir163_2_Log.final.out
STAR	SummaryLog	analysis | star | wt_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/wt_2_Log.final.out
STAR	SummaryLog	analysis | star | mir163_3	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/mir163_3_Log.final.out
STAR	ReadsPerGene	analysis | star | mir163_2	/bigdata/bioinfo/brandonle/workshops/RNA-seq-workshop/analysis/star/mir163_2_ReadsPerGene.out.tab
